version,pattern,thread,n_rows,n_cols,runtime,flops
heat_omp, uni, 16,500,50000,6.166589e-02,4.868981e+09
heat_omp, pat1, 16, 5000,5000,6.064381e+00,1.980416e+10
heat_omp, pat1, 16,50000,500,5.534789e+00,2.169911e+10
heat_omp, pat1, 16,500,50000,6.973427e+00,1.722252e+10
heat_omp, pat2, 16, 5000,5000,6.585575e+00,1.823683e+10
heat_omp, pat2, 16,50000,500,7.145736e+00,1.680723e+10
heat_omp, pat2, 16,500,50000,6.281145e+00,1.912072e+10
heat_omp, areas, 16, 1000,1000,3.094193e+00,3.881465e+10
heat_omp, areas, 16,10000,100,3.129376e+00,3.837826e+10
heat_omp, areas, 16,100,10000,4.041378e+00,2.971759e+10
heat_omp, plasma, 16, 1000,1000,3.067804e+00,3.914852e+10
heat_omp, plasma, 16,10000,100,3.072476e+00,3.908900e+10
heat_omp, plasma, 16,100,10000,3.868015e+00,3.104952e+10
heat_omp, gradient, 16, 1000,1000,3.057322e+00,3.928274e+10
heat_omp, gradient, 16,10000,100,3.025001e+00,3.970247e+10
heat_omp, gradient, 16,100,10000,4.022574e+00,2.985651e+10
heat_omp, uni, 16, 1000,1000,2.981186e-03,4.028598e+09
heat_omp, uni, 16,10000,100,3.148847e-03,3.814094e+09
heat_omp, uni, 16,100,10000,2.986229e-03,4.021795e+09
heat_omp, pat1, 16, 1000,1000,3.054263e+00,3.932209e+10
heat_omp, pat1, 16,10000,100,2.939314e+00,4.085988e+10
heat_omp, pat1, 16,100,10000,4.721987e+00,2.543421e+10
heat_omp, pat2, 16, 1000,1000,3.019454e+00,3.977541e+10
heat_omp, pat2, 16,10000,100,1.285366e+01,9.343643e+09
heat_omp, pat2, 16,100,10000,5.207312e+00,2.306372e+10
heat_omp, areas, 16, 3000,3000,7.662746e+00,1.567166e+10
heat_omp, areas, 16,30000,300,9.063000e+00,1.325036e+10
heat_omp, areas, 16,300,30000,7.354531e+00,1.632844e+10
heat_omp, plasma, 16, 3000,3000,7.588501e+00,1.582499e+10
heat_omp, plasma, 16,30000,300,6.960801e+00,1.725203e+10
heat_omp, plasma, 16,300,30000,9.056910e+00,1.325927e+10
heat_omp, gradient, 16, 3000,3000,7.484337e+00,1.604524e+10
heat_omp, gradient, 16,30000,300,8.936076e+00,1.343856e+10
heat_omp, gradient, 16,300,30000,8.470320e+00,1.417750e+10
heat_omp, uni, 16, 3000,3000,1.840134e-02,5.874030e+09
heat_omp, uni, 16,30000,300,1.677584e-02,6.443194e+09
heat_omp, uni, 16,300,30000,1.927991e-02,5.606354e+09
heat_omp, pat1, 16, 3000,3000,8.833463e+00,1.359467e+10
heat_omp, pat1, 16,30000,300,6.805301e+00,1.764624e+10
heat_omp, pat1, 16,300,30000,7.196813e+00,1.668627e+10
heat_omp, pat2, 16, 3000,3000,9.470007e+00,1.268088e+10
heat_omp, pat2, 16,30000,300,7.568802e+00,1.586618e+10
heat_omp, pat2, 16,300,30000,7.661573e+00,1.567407e+10
heat_omp, areas, 16, 5000,5000,6.205164e+00,1.935485e+10
heat_omp, areas, 16,50000,500,6.351243e+00,1.890968e+10
heat_omp, areas, 16,500,50000,7.597701e+00,1.580741e+10
heat_omp, plasma, 16, 5000,5000,6.327899e+00,1.897944e+10
heat_omp, plasma, 16,50000,500,5.930599e+00,2.025091e+10
heat_omp, plasma, 16,500,50000,7.300988e+00,1.644983e+10
heat_omp, gradient, 16, 5000,5000,6.346672e+00,1.892330e+10
heat_omp, gradient, 16,50000,500,6.411150e+00,1.873299e+10
heat_omp, gradient, 16,500,50000,6.721991e+00,1.786673e+10
heat_omp, uni, 16, 5000,5000,3.936159e-02,7.627995e+09
heat_omp, uni, 16,50000,500,4.040789e-02,7.430479e+09
heat_omp, uni, 16,500,50000,6.014965e-02,4.991717e+09
heat_omp, pat1, 16, 5000,5000,6.248027e+00,1.922207e+10
heat_omp, pat1, 16,50000,500,6.938906e+00,1.730820e+10
heat_omp, pat1, 16,500,50000,6.974469e+00,1.721995e+10
heat_omp, pat2, 16, 5000,5000,6.679574e+00,1.798019e+10
heat_omp, pat2, 16,50000,500,6.481693e+00,1.852911e+10
heat_omp, pat2, 16,500,50000,6.675901e+00,1.799008e+10
heat_omp, areas, 16, 1000,1000,3.312978e+00,3.625137e+10
heat_omp, areas, 16,10000,100,2.939694e+00,4.085459e+10
heat_omp, areas, 16,100,10000,4.639707e+00,2.588525e+10
heat_omp, plasma, 16, 1000,1000,3.045873e+00,3.943040e+10
heat_omp, plasma, 16,10000,100,3.469451e+00,3.461643e+10
heat_omp, plasma, 16,100,10000,4.546990e+00,2.641308e+10
heat_omp, gradient, 16, 1000,1000,3.057470e+00,3.928084e+10
heat_omp, gradient, 16,10000,100,2.941531e+00,4.082908e+10
heat_omp, gradient, 16,100,10000,4.888918e+00,2.456576e+10
heat_omp, uni, 16, 1000,1000,3.041894e-03,3.948198e+09
heat_omp, uni, 16,10000,100,3.114488e-03,3.856172e+09
heat_omp, uni, 16,100,10000,3.212126e-03,3.738957e+09
heat_omp, pat1, 16, 1000,1000,3.020817e+00,3.975745e+10
heat_omp, pat1, 16,10000,100,2.957138e+00,4.061359e+10
heat_omp, pat1, 16,100,10000,4.356856e+00,2.756575e+10
heat_omp, pat2, 16, 1000,1000,3.121776e+00,3.847169e+10
heat_omp, pat2, 16,10000,100,1.292719e+01,9.290498e+09
heat_omp, pat2, 16,100,10000,5.330009e+00,2.253279e+10
heat_omp, areas, 16, 3000,3000,7.693252e+00,1.560952e+10
heat_omp, areas, 16,30000,300,7.022527e+00,1.710040e+10
heat_omp, areas, 16,300,30000,7.378439e+00,1.627553e+10
heat_omp, plasma, 16, 3000,3000,7.794162e+00,1.540743e+10
heat_omp, plasma, 16,30000,300,8.219963e+00,1.460931e+10
heat_omp, plasma, 16,300,30000,8.315812e+00,1.444092e+10
heat_omp, gradient, 16, 3000,3000,7.965705e+00,1.507563e+10
heat_omp, gradient, 16,30000,300,8.044936e+00,1.492715e+10
heat_omp, gradient, 16,300,30000,7.382406e+00,1.626678e+10
heat_omp, uni, 16, 3000,3000,1.841456e-02,5.869812e+09
heat_omp, uni, 16,30000,300,1.596645e-02,6.769820e+09
heat_omp, uni, 16,300,30000,1.934856e-02,5.586463e+09
heat_omp, pat1, 16, 3000,3000,7.917008e+00,1.516836e+10
heat_omp, pat1, 16,30000,300,8.973624e+00,1.338233e+10
heat_omp, pat1, 16,300,30000,9.528657e+00,1.260282e+10
heat_omp, pat2, 16, 3000,3000,9.440247e+00,1.272085e+10
heat_omp, pat2, 16,30000,300,7.950444e+00,1.510456e+10
heat_omp, pat2, 16,300,30000,7.518867e+00,1.597155e+10
heat_omp, areas, 16, 5000,5000,6.048896e+00,1.985486e+10
heat_omp, areas, 16,50000,500,5.773822e+00,2.080078e+10
heat_omp, areas, 16,500,50000,7.441513e+00,1.613919e+10
heat_omp, plasma, 16, 5000,5000,5.757634e+00,2.085926e+10
heat_omp, plasma, 16,50000,500,5.903150e+00,2.034507e+10
heat_omp, plasma, 16,500,50000,6.837348e+00,1.756529e+10
heat_omp, gradient, 16, 5000,5000,6.042213e+00,1.987682e+10
heat_omp, gradient, 16,50000,500,5.888376e+00,2.039612e+10
heat_omp, gradient, 16,500,50000,7.338061e+00,1.636672e+10
heat_omp, uni, 16, 5000,5000,4.477777e-02,6.705335e+09
heat_omp, uni, 16,50000,500,4.235650e-02,7.088640e+09
heat_omp, uni, 16,500,50000,6.316296e-02,4.753577e+09
heat_omp, pat1, 16, 5000,5000,6.011733e+00,1.997760e+10
heat_omp, pat1, 16,50000,500,6.038830e+00,1.988796e+10
heat_omp, pat1, 16,500,50000,6.918637e+00,1.735891e+10
heat_omp, pat2, 16, 5000,5000,6.690398e+00,1.795110e+10
heat_omp, pat2, 16,50000,500,6.211141e+00,1.933622e+10
heat_omp, pat2, 16,500,50000,6.715165e+00,1.788489e+10
heat_omp, areas, 16, 1000,1000,3.055928e+00,3.930067e+10
heat_omp, areas, 16,10000,100,2.937232e+00,4.088883e+10
heat_omp, areas, 16,100,10000,4.764616e+00,2.520665e+10
heat_omp, plasma, 16, 1000,1000,3.041863e+00,3.948238e+10
heat_omp, plasma, 16,10000,100,3.542086e+00,3.390657e+10
heat_omp, plasma, 16,100,10000,4.832773e+00,2.485116e+10
heat_omp, gradient, 16, 1000,1000,3.150485e+00,3.812112e+10
heat_omp, gradient, 16,10000,100,2.949864e+00,4.071375e+10
heat_omp, gradient, 16,100,10000,3.809951e+00,3.152271e+10
heat_omp, uni, 16, 1000,1000,3.052010e-03,3.935112e+09
heat_omp, uni, 16,10000,100,2.892743e-03,4.151769e+09
heat_omp, uni, 16,100,10000,3.191914e-03,3.762633e+09
heat_omp, pat1, 16, 1000,1000,3.087727e+00,3.889593e+10
heat_omp, pat1, 16,10000,100,2.918335e+00,4.115360e+10
heat_omp, pat1, 16,100,10000,4.879900e+00,2.461116e+10
heat_omp, pat2, 16, 1000,1000,3.053872e+00,3.932712e+10
heat_omp, pat2, 16,10000,100,1.284344e+01,9.351076e+09
heat_omp, pat2, 16,100,10000,5.077780e+00,2.365207e+10
heat_omp, areas, 16, 3000,3000,8.049272e+00,1.491911e+10
heat_omp, areas, 16,30000,300,7.423975e+00,1.617570e+10
heat_omp, areas, 16,300,30000,9.021793e+00,1.331088e+10
heat_omp, plasma, 16, 3000,3000,7.290349e+00,1.647219e+10
heat_omp, plasma, 16,30000,300,8.155912e+00,1.472404e+10
heat_omp, plasma, 16,300,30000,8.921422e+00,1.346063e+10
heat_omp, gradient, 16, 3000,3000,7.782517e+00,1.543048e+10
heat_omp, gradient, 16,30000,300,7.347457e+00,1.634416e+10
heat_omp, gradient, 16,300,30000,8.411995e+00,1.427580e+10
