version,pattern,thread,n_rows,n_cols,time_elapsed
histo_seq, plasma, 16,100,10000,2.591240
histo_seq, gradient, 16, 1000,1000,1.118115
histo_seq, gradient, 16,10000,100,1.912058
histo_seq, gradient, 16,100,10000,3.147177
histo_seq, uni, 16, 1000,1000,2.526451
histo_seq, uni, 16,10000,100,2.525554
histo_seq, uni, 16,100,10000,2.523617
histo_seq, pat1, 16, 1000,1000,2.428454
histo_seq, pat1, 16,10000,100,2.325556
histo_seq, pat1, 16,100,10000,2.454735
histo_seq, pat2, 16, 1000,1000,2.500424
histo_seq, pat2, 16,10000,100,2.546496
histo_seq, pat2, 16,100,10000,2.515257
histo_seq, random, 16, 1000,1000,1.014231
histo_seq, random, 16,10000,100,1.476034
histo_seq, random, 16,100,10000,1.298477
histo_seq, areas, 16, 3000,3000,7.444111
histo_seq, areas, 16,30000,300,8.561028
histo_seq, areas, 16,300,30000,7.528861
histo_seq, plasma, 16, 3000,3000,8.626086
histo_seq, plasma, 16,30000,300,7.260471
histo_seq, plasma, 16,300,30000,1.330340
histo_seq, gradient, 16, 3000,3000,1.490866
histo_seq, gradient, 16,30000,300,1.585168
histo_seq, gradient, 16,300,30000,1.737571
histo_seq, uni, 16, 3000,3000,2.322019
histo_seq, uni, 16,30000,300,1.806508
histo_seq, uni, 16,300,30000,1.841493
histo_seq, pat1, 16, 3000,3000,1.745528
histo_seq, pat1, 16,30000,300,1.694453
histo_seq, pat1, 16,300,30000,1.755245
histo_seq, pat2, 16, 3000,3000,1.779856
histo_seq, pat2, 16,30000,300,1.776818
histo_seq, pat2, 16,300,30000,1.761760
histo_seq, random, 16, 3000,3000,1.037467
histo_seq, random, 16,30000,300,8.072569
histo_seq, random, 16,300,30000,1.031699
histo_seq, areas, 16, 5000,5000,2.114237
histo_seq, areas, 16,50000,500,2.105306
histo_seq, areas, 16,500,50000,3.085329
histo_seq, plasma, 16, 5000,5000,3.359806
histo_seq, plasma, 16,50000,500,2.132103
histo_seq, plasma, 16,500,50000,3.158090
histo_seq, gradient, 16, 5000,5000,3.507075
histo_seq, gradient, 16,50000,500,4.642589
histo_seq, gradient, 16,500,50000,4.883510
histo_seq, uni, 16, 5000,5000,4.918418
histo_seq, uni, 16,50000,500,
histo_seq, uni, 16,500,50000,5.144051
histo_seq, pat1, 16, 5000,5000,
histo_seq, pat1, 16,50000,500,4.710695
histo_seq, pat1, 16,500,50000,4.896430
histo_seq, pat2, 16, 5000,5000,
histo_seq, pat2, 16,50000,500,4.902534
histo_seq, pat2, 16,500,50000,4.997089
histo_seq, random, 16, 5000,5000,2.240021
histo_seq, random, 16,50000,500,2.243893
histo_seq, random, 16,500,50000,2.248541
histo_seq, areas, 16, 1000,1000,9.438930
histo_seq, areas, 16,10000,100,1.066501
histo_seq, areas, 16,100,10000,9.347980
histo_seq, plasma, 16, 1000,1000,1.168649
histo_seq, plasma, 16,10000,100,8.186920
histo_seq, plasma, 16,100,10000,1.468240
histo_seq, gradient, 16, 1000,1000,1.140863
histo_seq, gradient, 16,10000,100,1.914026
histo_seq, gradient, 16,100,10000,1.885993
histo_seq, uni, 16, 1000,1000,2.518454
histo_seq, uni, 16,10000,100,2.539303
histo_seq, uni, 16,100,10000,2.521846
histo_seq, pat1, 16, 1000,1000,2.421536
histo_seq, pat1, 16,10000,100,2.297337
histo_seq, pat1, 16,100,10000,2.461525
histo_seq, pat2, 16, 1000,1000,2.505105
histo_seq, pat2, 16,10000,100,2.528463
histo_seq, pat2, 16,100,10000,2.528161
histo_seq, random, 16, 1000,1000,1.214001
histo_seq, random, 16,10000,100,1.478405
histo_seq, random, 16,100,10000,1.144172
histo_seq, areas, 16, 3000,3000,7.316770
histo_seq, areas, 16,30000,300,7.590153
histo_seq, areas, 16,300,30000,7.313197
histo_seq, plasma, 16, 3000,3000,8.525738
histo_seq, plasma, 16,30000,300,7.092330
histo_seq, plasma, 16,300,30000,1.115160
histo_seq, gradient, 16, 3000,3000,1.132436
histo_seq, gradient, 16,30000,300,1.599237
histo_seq, gradient, 16,300,30000,1.740334
histo_seq, uni, 16, 3000,3000,1.769903
histo_seq, uni, 16,30000,300,1.762616
histo_seq, uni, 16,300,30000,1.755038
histo_seq, pat1, 16, 3000,3000,
histo_seq, pat1, 16,30000,300,
histo_seq, pat1, 16,300,30000,
histo_seq, pat2, 16, 3000,3000,
histo_seq, pat2, 16,30000,300,
histo_seq, pat2, 16,300,30000,
histo_seq, random, 16, 3000,3000,8.016759
histo_seq, random, 16,30000,300,8.107050
histo_seq, random, 16,300,30000,8.073256
histo_seq, areas, 16, 5000,5000,
histo_seq, areas, 16,50000,500,
histo_seq, areas, 16,500,50000,
histo_seq, plasma, 16, 5000,5000,
