n_nums,buffersize,runtime
2101,100,3.452729
2101,100,3.150742
2101,100,3.335417
2101,100,3.758012
2101,100,3.347374
2101,100,3.525428
2101,100,3.633334
2101,100,3.644689
2101,100,3.543162
2101,100,3.852364
2201,100,3.440701
2201,100,3.74154
2201,100,3.33699
2201,100,3.617036
2201,100,3.919019
2201,100,3.991457
2201,100,3.901245
2201,100,4.115384
2201,100,3.726807
2201,100,3.742274
2201,100,4.047518
2201,100,4.193973
2201,100,3.475924
2201,100,4.317312
2201,100,3.955141
2201,100,3.72994
2201,100,4.064433
2201,100,3.50987
2201,100,4.013448
2201,100,3.863217
2301,100,4.086865
2301,100,4.047507
2301,100,4.454817
2301,100,3.873906
2301,100,4.427929
2301,100,3.884572
2301,100,4.214851
2301,100,3.963104
2301,100,3.271002
2301,100,3.977668
2301,100,3.596812
2301,100,4.026287
2301,100,3.914584
2301,100,3.854321
2301,100,4.183808
2301,100,3.770026
2301,100,3.511696
2301,100,4.170629
2301,100,4.189507
2301,100,3.750535
2401,100,4.03123
2401,100,4.241486
2401,100,4.171396
2401,100,3.696437
2401,100,4.618297
2401,100,3.901449
2401,100,4.215173
2401,100,4.28157
2401,100,4.152838
2401,100,4.646404
2401,100,4.478046
2401,100,4.348315
2401,100,4.411641
2401,100,4.596398
2401,100,4.66937
2401,100,3.870676
2401,100,4.904969
2401,100,4.370937
2401,100,4.445478
2401,100,4.052584
2501,100,4.923675
2501,100,4.707067
2501,100,4.370682
2501,100,4.162598
2501,100,4.711646
2501,100,4.090325
2501,100,4.712822
2501,100,4.596509
2501,100,4.86759
2501,100,4.665771
2501,100,4.524428
2501,100,4.612997
2501,100,3.863832
2501,100,3.886475
2501,100,4.650992
2501,100,4.307852
2501,100,4.797586
2501,100,4.082849
2501,100,4.395807
2501,100,3.843946
2601,100,5.176043
2601,100,4.961032
2601,100,5.780064
2601,100,4.169541
2601,100,4.428639
2601,100,4.679458
2601,100,4.781149
2601,100,5.04368
2601,100,4.714895
2601,100,4.896409
2601,100,4.924777
2601,100,4.340312
2601,100,5.215695
2601,100,5.191854
2601,100,5.320217
2601,100,5.117305
2601,100,5.249258
2601,100,4.334725
2601,100,4.984027
2601,100,5.02989
2701,100,5.115082
2701,100,5.426789
2701,100,4.910339
2701,100,5.107377
2701,100,4.953085
2701,100,5.491049
2701,100,4.736089
2701,100,4.925155
2701,100,5.789034
2701,100,5.028077
2701,100,4.967259
2701,100,4.726496
2701,100,4.935319
2701,100,5.171197
2701,100,4.651601
2701,100,5.31389
2701,100,4.483764
2701,100,5.664777
2701,100,5.09393
2701,100,5.6971
2801,100,6.422652
2801,100,4.96355
2801,100,5.173352
2801,100,4.496893
2801,100,5.208237
2801,100,5.225552
2801,100,5.278966
2801,100,5.929919
2801,100,5.998184
2801,100,5.342846
2801,100,5.408951
2801,100,5.659212
2801,100,4.736989
2801,100,4.893948
2801,100,5.539013
2801,100,5.230118
2801,100,5.210051
2801,100,5.078076
2801,100,5.719153
2801,100,5.680119
2901,100,5.086603
2901,100,5.420994
2901,100,5.847234
2901,100,6.107914
2901,100,5.500614
2901,100,5.777427
2901,100,5.643862
2901,100,6.318064
2901,100,5.320968
2901,100,4.768247
2901,100,5.945271
2901,100,5.064967
2901,100,6.214464
2901,100,5.547762
2901,100,5.834412
2901,100,5.579015
2901,100,5.534973
2901,100,6.14033
2901,100,5.878278
2901,100,5.272518
3001,100,5.87882
3001,100,5.616327
3001,100,5.491846
3001,100,5.833769
3001,100,5.74918
3001,100,5.3408
3001,100,5.551071
3001,100,6.278168
