n_nums,buffersize,runtime
2201,1000,4.081442
2201,1000,3.833770
2301,1000,4.138062
2301,1000,3.644340
2301,1000,4.289442
2301,1000,3.955431
2301,1000,3.917291
2301,1000,3.805650
2301,1000,4.023488
2301,1000,3.787209
2301,1000,4.025539
2301,1000,4.022529
2301,1000,4.057322
2301,1000,3.807112
2301,1000,4.117939
2301,1000,4.112200
2301,1000,4.293601
2301,1000,4.180732
2301,1000,3.781574
2301,1000,3.796898
2301,1000,4.223221
2301,1000,3.667740
2401,1000,4.458829
2401,1000,4.748239
2401,1000,4.157002
2401,1000,4.469077
2401,1000,4.161512
2401,1000,3.923705
2401,1000,3.891313
2401,1000,4.295080
2401,1000,3.597698
2401,1000,4.582595
2401,1000,4.527167
2401,1000,4.296176
2401,1000,4.344395
2401,1000,4.010359
2401,1000,3.910410
2401,1000,4.286114
2401,1000,4.431167
2401,1000,3.878645
2401,1000,3.968885
2401,1000,4.729719
2501,1000,4.034423
2501,1000,4.439037
2501,1000,4.787585
2501,1000,4.855996
2501,1000,4.286842
2501,1000,4.132605
2501,1000,4.809427
2501,1000,4.638034
2501,1000,4.929394
2501,1000,4.389149
2501,1000,4.307507
2501,1000,4.405512
2501,1000,4.420101
2501,1000,4.698519
2501,1000,4.243280
2501,1000,5.011432
2501,1000,4.835795
2501,1000,4.814017
2501,1000,4.994972
2501,1000,5.011833
2601,1000,4.437870
2601,1000,4.678372
2601,1000,4.741482
2601,1000,4.796985
2601,1000,4.748138
2601,1000,4.782722
2601,1000,5.148495
2601,1000,5.233161
2601,1000,5.367911
2601,1000,4.763168
2601,1000,4.897621
2601,1000,4.902236
2601,1000,4.928763
2601,1000,3.948217
2601,1000,4.479873
2601,1000,4.736624
2601,1000,4.555218
2601,1000,4.081122
2601,1000,4.760029
2601,1000,5.105452
2701,1000,5.330106
2701,1000,5.702140
2701,1000,4.983957
2701,1000,5.026317
2701,1000,5.112317
2701,1000,5.356329
2701,1000,4.706076
2701,1000,4.748979
2701,1000,5.187042
2701,1000,4.617662
2701,1000,4.917081
2701,1000,5.177154
2701,1000,4.853246
2701,1000,5.177672
2701,1000,4.577199
2701,1000,4.487876
2701,1000,5.342282
2701,1000,4.947048
2701,1000,5.267764
2701,1000,4.515412
2801,1000,5.368051
2801,1000,5.130227
2801,1000,5.258210
2801,1000,5.356739
2801,1000,5.112777
2801,1000,5.863134
2801,1000,5.310006
2801,1000,5.180035
2801,1000,5.256380
2801,1000,4.271688
2801,1000,5.729265
2801,1000,5.168133
2801,1000,5.454933
2801,1000,4.946907
2801,1000,5.519405
2801,1000,5.065058
2801,1000,5.755573
2801,1000,5.348629
2801,1000,5.423749
2801,1000,5.101389
2901,1000,5.433343
2901,1000,5.920463
2901,1000,5.243898
2901,1000,5.661041
2901,1000,5.910183
2901,1000,5.923208
2901,1000,5.760592
2901,1000,5.671780
2901,1000,6.205261
2901,1000,5.424968
2901,1000,5.913662
2901,1000,6.056396
2901,1000,5.571761
2901,1000,5.789783
2901,1000,5.120551
2901,1000,5.230694
2901,1000,5.785924
2901,1000,6.350225
2901,1000,5.728292
2901,1000,4.802577
3001,1000,5.259812
3001,1000,5.442848
3001,1000,6.056898
3001,1000,5.309627
3001,1000,6.172326
3001,1000,5.911453
3001,1000,5.475542
3001,1000,5.231819
3001,1000,5.921006
3001,1000,5.719217
3001,1000,5.742389
3001,1000,5.861693
3001,1000,5.875578
3001,1000,5.890724
3001,1000,5.794087
3001,1000,6.370852
3001,1000,6.273266
3001,1000,6.301884
3001,1000,6.200128
3001,1000,5.357777
3101,1000,5.638044
3101,1000,6.350131
3101,1000,5.883665
3101,1000,5.579211
3101,1000,5.949676
3101,1000,6.267098
3101,1000,6.264874
3101,1000,6.053892
3101,1000,5.789122
3101,1000,5.977853
3101,1000,6.690678
3101,1000,6.289808
3101,1000,5.218906
3101,1000,6.724784
3101,1000,5.378253
3101,1000,7.322247
3101,1000,5.775367
3101,1000,5.656659
3101,1000,5.093957
3101,1000,5.478551
3201,1000,5.703947
3201,1000,7.084562
3201,1000,6.999947
3201,1000,7.282619
3201,1000,5.981575
3201,1000,6.674026
3201,1000,6.573082
3201,1000,5.949326
3201,1000,5.998976
3201,1000,6.533815
3201,1000,5.838944
3201,1000,6.258431
3201,1000,5.805800
3201,1000,6.362927
3201,1000,6.637237
3201,1000,5.235559
3201,1000,5.419350
3201,1000,6.857189
3201,1000,6.534573
3201,1000,6.514512
3301,1000,7.310207
3301,1000,6.374182
3301,1000,6.175634
3301,1000,6.981527
3301,1000,7.704607
3301,1000,7.238816
3301,1000,6.702384
3301,1000,6.413275
3301,1000,5.889881
3301,1000,6.056361
3301,1000,5.580337
3301,1000,6.437227
3301,1000,6.792121
3301,1000,6.529596
3301,1000,7.042783
3301,1000,6.458134
3301,1000,7.015223
3301,1000,5.482841
3301,1000,6.550245
3301,1000,7.768701
3401,1000,7.345781
3401,1000,7.315790
3401,1000,6.586662
3401,1000,6.835783
3401,1000,6.511605
3401,1000,7.987516
3401,1000,7.071479
3401,1000,6.082970
3401,1000,6.095368
3401,1000,6.865749
3401,1000,8.101496
3401,1000,6.443192
3401,1000,7.234055
3401,1000,6.466085
3401,1000,7.012698
3401,1000,6.410193
3401,1000,6.349528
3401,1000,6.926297
3401,1000,7.011281
3401,1000,7.556042
3501,1000,6.632044
3501,1000,6.894518
3501,1000,6.198258
3501,1000,7.585833
3501,1000,7.399666
3501,1000,8.000105
3501,1000,6.864086
3501,1000,7.646388
3501,1000,7.574938
3501,1000,6.960859
3501,1000,7.060349
3501,1000,7.182772
3501,1000,7.075229
3501,1000,7.423035
3501,1000,7.434988
3501,1000,6.439455
3501,1000,7.537067
3501,1000,6.731119
3501,1000,6.233905
3501,1000,6.737666
3601,1000,7.150839
3601,1000,7.876724
3601,1000,8.134335
3601,1000,6.700612
3601,1000,7.070411
3601,1000,7.880149
3601,1000,8.370500
3601,1000,7.400145
3601,1000,8.077960
3601,1000,7.759034
3601,1000,6.978509
3601,1000,7.828148
3601,1000,6.869099
3601,1000,7.412714
3601,1000,7.558228
3601,1000,7.642293
3601,1000,6.895624
3601,1000,7.240001
3601,1000,6.649927
3601,1000,7.487350
3701,1000,7.914894
3701,1000,8.102339
3701,1000,7.845186
3701,1000,8.579342
3701,1000,6.566705
3701,1000,8.365449
3701,1000,7.421850
3701,1000,6.765393
3701,1000,6.896181
3701,1000,7.314593
3701,1000,8.226216
3701,1000,7.803214
3701,1000,8.363547
3701,1000,7.850782
3701,1000,8.478888
3701,1000,8.236285
3701,1000,7.783141
3701,1000,9.109629
3701,1000,8.150745
3701,1000,8.191384
3801,1000,7.899732
3801,1000,7.615577
3801,1000,8.398835
3801,1000,7.298889
3801,1000,9.079489
3801,1000,8.630115
3801,1000,9.177018
3801,1000,7.410685
3801,1000,7.379692
3801,1000,7.869109
3801,1000,7.406299
3801,1000,8.656664
3801,1000,8.287742
3801,1000,8.784426
3801,1000,7.700779
3801,1000,7.745762
3801,1000,7.643849
3801,1000,8.430483
3801,1000,7.986172
3801,1000,8.204308
3901,1000,7.347758
3901,1000,8.864973
3901,1000,7.590807
3901,1000,8.372174
3901,1000,9.610160
3901,1000,7.836927
3901,1000,8.098387
3901,1000,9.590123
3901,1000,8.975149
3901,1000,7.784119
3901,1000,9.578815
3901,1000,7.398885
3901,1000,8.656848
3901,1000,8.519700
3901,1000,8.532594
3901,1000,8.082753
3901,1000,7.943685
3901,1000,8.418732
3901,1000,8.106943
3901,1000,7.705760
4001,1000,8.419637
4001,1000,8.367536
4001,1000,8.617845
4001,1000,7.609565
4001,1000,7.084955
4001,1000,8.362761
4001,1000,9.195347
4001,1000,7.806154
4001,1000,8.516027
4001,1000,8.404446
4001,1000,9.006251
4001,1000,9.714094
4001,1000,8.115197
4001,1000,8.602480
4001,1000,7.142290
4001,1000,7.777599
4001,1000,8.337016
4001,1000,8.577601
4001,1000,9.264158
4001,1000,9.029298
4101,1000,8.639869
4101,1000,8.590647
4101,1000,8.502920
4101,1000,8.634769
4101,1000,8.267030
4101,1000,7.565407
4101,1000,7.449613
4101,1000,8.485997
4101,1000,7.701981
4101,1000,7.838441
4101,1000,9.366606
4101,1000,8.644948
4101,1000,8.761462
4101,1000,8.520524
4101,1000,9.277676
4101,1000,8.830953
4101,1000,7.688413
4101,1000,7.630429
4101,1000,9.088318
4101,1000,7.522646
4201,1000,9.043883
4201,1000,8.407063
4201,1000,7.833523
4201,1000,9.329590
4201,1000,8.186515
4201,1000,8.820376
4201,1000,9.462099
4201,1000,9.287476
4201,1000,9.158903
4201,1000,9.988303
4201,1000,9.280651
4201,1000,1.005680
4201,1000,9.566698
4201,1000,9.565860
4201,1000,8.932090
4201,1000,7.988708
4201,1000,8.086908
4201,1000,1.080904
4201,1000,9.830999
4201,1000,9.875009
4301,1000,8.492286
4301,1000,9.478336
4301,1000,1.013772
4301,1000,9.133054
4301,1000,1.016429
4301,1000,8.480406
4301,1000,8.007308
4301,1000,1.120550
4301,1000,8.407418
4301,1000,9.098428
4301,1000,8.360031
4301,1000,8.813498
4301,1000,9.576180
4301,1000,8.494495
4301,1000,7.931800
4301,1000,8.501545
4301,1000,8.172169
4301,1000,8.876388
4301,1000,1.053264
4301,1000,9.250466
4401,1000,1.005689
4401,1000,1.045128
4401,1000,1.000814
4401,1000,9.241421
4401,1000,9.039536
4401,1000,1.039422
4401,1000,1.038092
4401,1000,8.797581
4401,1000,9.772530
4401,1000,9.090032
4401,1000,8.230283
4401,1000,1.101766
4401,1000,8.869527
4401,1000,9.779358
4401,1000,9.332583
4401,1000,1.025000
4401,1000,8.669543
4401,1000,8.544133
4401,1000,9.467585
4401,1000,9.139463
4501,1000,9.267218
4501,1000,1.059798
4501,1000,1.099177
4501,1000,9.503992
4501,1000,9.116033
4501,1000,1.137990
4501,1000,8.955719
4501,1000,9.535927
4501,1000,8.820448
4501,1000,9.505428
4501,1000,1.040474
4501,1000,1.054624
4501,1000,1.088187
4501,1000,9.022579
4501,1000,8.591103
4501,1000,1.143134
4501,1000,9.113108
4501,1000,1.097319
4501,1000,9.699407
4501,1000,8.543214
4601,1000,9.249490
4601,1000,1.007615
4601,1000,9.830025
4601,1000,1.028572
4601,1000,1.102545
4601,1000,9.871883
4601,1000,8.846267
4601,1000,9.237846
4601,1000,8.082343
4601,1000,1.026025
4601,1000,1.003222
4601,1000,1.020915
4601,1000,1.126829
4601,1000,1.021687
4601,1000,1.021151
4601,1000,9.056817
4601,1000,1.016590
4601,1000,8.903868
4601,1000,1.073705
4601,1000,9.281526
4701,1000,1.079709
4701,1000,9.304384
4701,1000,1.003577
4701,1000,
4701,1000,9.130370
4701,1000,1.069655
4701,1000,1.018893
4701,1000,8.972312
4701,1000,9.888902
4701,1000,1.015673
4701,1000,1.025670
4701,1000,1.026397
4701,1000,9.158008
4701,1000,1.159752
4701,1000,1.069909
4701,1000,9.480541
4701,1000,9.899433
4701,1000,
4701,1000,1.183303
4701,1000,1.069395
4801,1000,1.068594
4801,1000,1.254152
4801,1000,1.082955
4801,1000,1.056838
4801,1000,1.172981
4801,1000,1.033371
4801,1000,1.189652
4801,1000,9.960438
